page,summary,sentiment
Page 4," I963 Resistance, Rebellion, and Death (Actuelles -a selection) I 96 I The Possessed (Les Possedes) I96o Caligula and Three Other Plays (Caligula, Le Malentendu, L'Etat de siege, Les Justes) I 958 Exile and the Kingdom (L'E:xil et leRoyaume) I958 The Fall (La Chute) and The Myth of Sisyphus (Le Mythe de Sisyphe) I954 The Plague (La Peste",-0.125
Page 5," The STRANGER ALBERT CAMUS is published by RANDOM OM HOUS E, Inc. A DIVISION of RANDOM O NAL VINTAGE BOOKS . Translated from the French by Matthew Ward .",-0.3333333333333333
Page 6," First published in French as r: Etrarzger by Librairie Gallimard, France, in 1942 . Published in the United States by Random House, Inc., New York .",-0.02840909090909091
Page 7," The Stranger demanded of Camus the creation of a style at once literary and profoundly popular, an artistic sleight of hand that would make the complexities of a man's life appear simple . Camus acknowledged employing an ""American method"" in writing The Stranger .",0.20666666666666664
Page 8," As all translators do, Gilbert gave the novel a consistency and voice all his own . In the second half of the novel Camus gives freer rein to a lyricism which is his alone as he takes Meursault, now stripped of his liberty, beyond sensation .",0.14444444444444446
Page 9," No sentence in French literature in English trans­lation is better known than the opening sentence of The Stranger . It has become a sacred cow of sorts, and I have changed it . In this stylistic difference between the two parts, as everywhere, an impossible fidelity has been my purpose .",-0.059999999999999984
Page 13," The case will be closed after the funeral, and everything will have a more official feel to it . For now, it's almost as if Maman weren't dead, says Algiers .",0.06666666666666667
Page 14," The caretaker talked the whole time and then saw the director . He thumbed through a file and said, ""Madame Meursault came to us three years ago. You were her sole support"" The director cut me off, saying, ""You weren't able to provide for her properly""",0.175
Page 15," ""You're young, and it must have been hard for her with you,"" says the director of a nursing home . ""When she was at home with me, Maman used to spend her time following me with her eyes, not saying a thing,"" he says .",-0.0638888888888889
Page 16," The funeral is set for ten o'clock in the morning, so you'll be able to keep vigil over the departed . While not an atheist, Maman had never in her life given a thought to religion . The caretaker came in behind him and said, ""I'm supposed to unscrew the casket so you can see her""",0.033333333333333326
Page 17," The caretaker said to me, ""She's got an abscess."" I didn't understand, so I looked over at the nurse and saw that she had a bandage wrapped around her head just below the eyes . He would have been very surprised if anyone had told him he would end up caretaker at home .",0.13
Page 18," In the mortuary he told me that he'd come to the horne because he was destitute . He was in good health, so he'd offered to take on the job of caretaker . But of course it wasn't the same. He was the caretaker, and to a certain extent he had authority .",0.30476190476190473
Page 19," At one point he said, ""You know, your mother's friends will be coming to keep vigil too"" I asked him if he could tum off one of the lights, but he said he couldn't . That was how they'd been wired : it was all or nothing . I didn't pay too much attention to him after that . He left, came back, set up some chairs, stacked some cups around a coffee pot . The smell of Rowers on the night air was coming through the open door .",0.05
Page 20," Almost all the men were skinny and carried canes around their waists, making their bulging stomachs stick out even more . When they'd sat down, most of them looked at me and nodded awkwardly, their lips sucked in by their toothless mouths, so that I couldn't tell if they were greeting me or if it was just a nervous tic . For a second I had the ridiculous feeling that they were there to judge me, but I didn't dare say anything .",-0.014814814814814808
Page 21," The woman's sighs and sobs were quieting down . She sniffled a lot. Then finally she shut up. I didn't feel drowsy anymore, but I was tired and my back was hurting me. Now it was all these people not making a sound that was getting on my nerves. Every now and then I'd hear a strange noise and I couldn't figure out what it was. Finally I realized that some of the old people were sucking at the insides of their cheeks and making these weird smacking noises .",-0.06728395061728394
Page 22," The caretaker took me to his room and I had some more coffee and milk, which was very good . Above the hills that separate Marengo from the sea, the sky was streaked with red . It had been a long time since I'd been out in the country, and I could feel how much I'd enjoy going for a walk if it hadn't been for Maman .",0.2933333333333333
Page 23," The residents usually weren't allowed to attend funerals . But in this case he'd given one of mother's old friends-Thomas Perez­ permission to join the funeral procession . The others used to tease them and say, 'Perez has a fiancee,' he'd laugh .",0.049999999999999996
Page 24," The priest called me ""my son"" and said a few words to me as we walked to the church . I noticed right away that the screws on the casket had been tightened and that there were four men wear­ ing black in the room . ""Monsieur Meursault,"" the funeral director said .",-0.02698412698412699
Page 25," The funeral director assigned us our places. The sun was beginning to bear down on the earth and it was getting hotter by the minute. I don't know why we waited so long before getting under way. I was hot in my dark clothes. I turned a little in his direction and was looking at him when the director started talking to me about him. He told me that my mother and Monsieur Perez often used to walk down to the village together in the evenings, accompanied by a nurse .",-0.07476851851851851
Page 26," I was surprised at how fast the sun was climbing in the sky . I noticed that for quite some time the countryside had been buzzing with the sound of insects and the crackling of grass . The sweat was pouring down my face. I wasn't wearing a hat, so I fanned myself with my handkerchief . I turned around and saw old Perez about fifty meters behind us .",0.040740740740740744
Page 27," The coachman's hard leather hat looked as if it had been molded out of the same black mud . Perez seemed to be way back there, fading in the shimmering heat . I looked around and saw that he'd left the road and cut out across the fields . I realized that Perez, who knew the country, was taking a short cut in order to catch up with us .",-0.0763888888888889
Page 28," Perez's face when he caught up with us for the last time, tears of frustration and ex­ haustion were streaming down his cheeks . Then there was the church and the villagers on the sidewalks, the red geraniums on the graves in the cemetery, Perez fainting (he crumpled like a rag doll)",-0.05185185185185185
Page 29," As I was waking up, it came to me why my boss had seemed annoyed when I asked him for two days off: today is Saturday . And, naturally, my boss thought about the fact that I'd be getting four days' vacation that way, including Sunday . But, in the first place, it isn't my fault if they buried Maman yesterday instead of today, and second, I would have had Saturday and Sunday off anyway .",-0.012500000000000011
Page 30," When the sun got too hot, she dove off and I followed and we swam together . She laughed the whole time and said, ''I'm darker than you"" I felt like telling her it wasn't my fault, but I stopped myself because I'd already said that to my boss . By that evening Marie had forgotten all about it .",0.3833333333333333
Page 31," Marie's hair had left on the pillow, and slept until ten . She'd explained to me that she had to go to her aunt's . I didn't feel like having lunch at Celeste's like I usually did be­ cause they'd be sure to ask questions and I don't like that . After lunch I was a little bored and wandered around the apartment .",-0.07291666666666667
Page 32," An enormous mother, in a brown silk dress, and the father, a rather frail little man I know by sight . The streetcars, packed a few minutes before, were almost empty . After them, the street slowly emptied out. The matinees had all started. The only ones left were the shopkeepers and the cats .",-0.11250000000000002
Page 33," At five o'clock some streetcars pulled up, clanging away . They were bringing back gangs of fans from the local soccer stadium . One of them even yelled up to me, ""We beat 'em!"" And I nodded, as if to say ""Yes""",0.0
Page 34," The street lamps came on all of a sudden and made the first stars appearing in the night sky grow dim . I felt my eyes getting tired from watching the street filled with so many people and lights . Soon afterwards, with the streetcars running less often and the sky already blue above the trees and the lamps, the neighborhood emptied out .",0.07592592592592592
Page 35," I don't know why, but he seemed to be relieved somehow and to consider the matter closed . There was a stack of freight invoices that had piled up on my desk, and I had to go through them all . I really like doing this at lunchtime, because the roller towel you use is soaked through : one towel has to last all day .",0.03333333333333333
Page 36," Hying was first to grab hold and take a Hying leap . Then I reached out and helped Emmanuel scramble up . Emmanuel was laughing so hard he could hardly breathe. We arrived at Celeste's dripping with sweat. Celeste was there, as always, with his big belly, his apron, and his white moustache .",-0.06666666666666668
Page 37," Twice a day, at eleven and six, the old man takes the dog out for a walk . They haven't changed their route in eight years . Salamano has reddish scabs on his face and wispy yellow hair .",0.05
Page 38," The word around the neighborhood is that Raymond Sintes lives off women, but when you ask him what he does, he's a ""warehouse guard"" He often talks to me and sometimes stops by my place for a minute, because I listen to him . Over his bed he has a pink-and-white plaster angel, some pictures of famous athletes and two or three photographs of naked women .",0.25
Page 39," Meursault: ""I think you better stop right there or I'm gonna have to teach you a lesson"" Sintes: ""So you see, I wasn't the one who started it. He was asking for it."" He got out the blood sausage, fried it up, and set out glasses, plates, knives and forks .",0.39285714285714285
Page 40, He'd been giving Her Highness just enough to live on . He paid the rent on her room and gave her twenty francs a day for food . But she refused to work . He found a lottery ticket in her purse and she hadn't been able to explain how she paid for it . A short time later he'd found a ticket from the shop in Mont-de-Piete in her room which proved that she'd pawned two bracelets .,0.12727272727272726
Page 41," Raymond Meursault wanted to punish his ex-partner . He'd beaten her till she bled, but she still hasn't gotten what she has corning . He wanted her to be marked as a common prostitute, but underworld friends suggested ""marking"" her . He said he still had sexual feelings for her .",0.10000000000000002
Page 42," Raymond wanted to write a letter with a punch and some things in it to make her sorry for what she's done . He'd spit in her face and throw her out of bed, he wanted to punish her . Raymond asked me to write it for him, but I didn't say anything but that it was interesting . I wrote the letter just as it came to me .",0.0
Page 43, Raymond gave me a firm handshake and said that men always understand each other . He sealed the letter and we sat and smoked for a while without saying anything . Raymond said he'd heard about l\laman's death but that it was bound to happen sooner or later .,-0.10833333333333334
Page 44," ""I wanted her so bad when I saw her in that pretty red-and-white striped dress and leather sandals"" ""Marie taught me a game. As you swam, you had to skim off the foam from the crest of the waves with your mouth, hold it there, then roll over on your back and spout it out toward the sky""",-0.21249999999999997
Page 45," She put her lips on mine. Her tongue cooled my lips and we tumbled in the waves for a moment. When we'd gotten dressed again on the beach, Marie looked at me with her eyes sparkling . A minute later she asked me if I loved her. I told her it didn't mean any­ thing but that I didn't think so .",0.12916666666666665
Page 46," The woman was still shrieking and Raymond was still hitting her . Raymond asked, ""Is that legal, calling a man a pimp like that?"" But the cop ordered him to shut his trap . Raymond turned to the girl and said, ""You just wait, sweetheart-we're not through yet""",0.2
Page 47, Marie and Marie finished fixing lunch but she wasn't hungry; I ate almost everything . She left at one o'clock and I slept awhile; Raymond came in and asked me to act as a witness for him . We went out and Raymond bought me a brandy .,0.0
Page 48," Salarnano was very friendly with me and I thought it was a nice moment . From a distance I noticed old Salarano standing on the doorstep of his home . When we got closer, I saw that he didn't have his dog . He was looking all over the place, turning around, peering into the darkness of the entryway, muttering incoherently . Raymond pointed out to him that the dog might have gotten lost .",0.246875
Page 49," Raymond Meursault says he should go to the pound and they'd give the dog back to him after he paid a fee . The old man looked even more flustered. ""But they'll take him away from me, don't you see? If only somebody would take him in. But that's impossible-everybody's disgusted by his scabs. The police'll get him for sure.""",0.016666666666666663
Page 50," Raymond asked me to spend the day Sunday at his beach house, near Algiers . He'd been followed all day by a group of Arabs, one of whom was the brother of his former mistress . Raymond immediately told me that his friend's wife would be very glad not to be alone with a bunch of men .",0.25
Page 51," He was planning to open an office in Paris which would handle his business directly with the big companies, on the spot . He asked me if I wasn't interested in a change of life. I said that peo­ ple never change their lives, that in any case one life was as good as another . He looked upset and told me that I never gave him a straight answer, that I had no ambition . So I went back to work .",0.17857142857142855
Page 52," She took my arm with a smile and said she wanted to marry me . She said she wondered if she loved me, and there was no way I could know about that . Then she pointed out that marriage was a serious thing .",0.22222222222222224
Page 53," A strange little woman came in and asked me if she could sit at my table . Her gestures were jerky and she had bright eyes in a little face like an apple . She called Celeste over and ordered her whole meal all at once . While waiting for her first course, she opened her bag, took out a slip of paper and a pencil .",0.12083333333333335
Page 54," Salamano's dog was lost, be­ cause it wasn't at the pound . The people who worked there had told him that maybe it had been run over . He asked if he could find out at the police station . They told him they didn't keep track of things like that because they happened every day . I told him he could get another dog, but he was right to point out that he was used to this one .",0.2857142857142857
Page 55," Salamano rubbed his dog with ointment after he got skin disease . Salamano said the dog's real sickness was old age, and there's no cure for old age . He said he supposed I must be very sad since Maman died, and I didn't say anything . He told me that Maman was very fond of his dog. He called her ""your poor mother""",-0.075
Page 56," For the first time since I'd known him, he offered me his hand, and I felt the scales on his skin . Before he left he said, ""I hope the dogs don't bark tonight. I always think it's mine""",0.125
Page 57," Marie made fun of me because, she said, I had on a ""funeral face"" She had put on a white linen dress and let her hair down . Marie was jumping with joy and kept on saying what a beautiful day it was .",0.35888888888888887
Page 58," The day before, we'd gone to the police station and I'd testified that the girl had cheated on Raymond . I saw a group of Arabs leaning against the front of the tobacconist's shop . Raymond told me that the second one from the left was his man, and he seemed worried . But, he added, it was all settled now .",0.0
Page 59," Raymond's friend lived in a little wooden bungalow at the far end of the beach . He was a big guy, very tall and broad-shouldered, with a plump, sweet little wife with a Parisian accent . The faint hum of a motor rose up to us in the still air in Algiers .",0.041666666666666664
Page 60," Masson wanted to go for a swim, but his wife and Raymond didn't want to come . The three of us went down to the beach and Marie jumped right in . For the first time maybe, I really thought I was going to get married .",0.16603174603174603
