page,summary,sentiment
Page 4,"Awarded the Nobel Prize for Literature in 1957 Notebooks I 942-1951. I963 Resistance, Rebellion, and Death (Actuelles -a selection) I 96 I The Possessed (Les Possedes) I 958 Exile and the Kingdom (L'E:xil et leRoyaume) I958 The Fall (La Chute)",0.0
Page 5,"The Stranger by Albert Camus is one of the most popular books of the 20th century. The book is about a man who meets a stranger in New York City. The story is told from the point of view of the stranger, Albert Camus.",0.3090909090909091
Page 6,"First published in French as r: Etrarzger by Librairie Gallimard, France, in 1942. Copyright renewed 1969 by Mme Veuve Albert Camus. Manufactured in the United States of America.",0.125
Page 7,"Despite appearances, neither Camus nor Meursault ever tried to make things simple for themselves. In the mind of a moralist, simplification is tantamount to immorality. The ""simplicity"" of the text is merely apparent and every­ where paradoxical.",0.025
Page 8,Gilbert gave the novel a consistency and voice all his own. A certain paraphrastic earnestness might be a way of describing his effort to make the text intelligible. It is by pursuing what is unconventional in Camus's writing that one approaches a degree of its still startling originality.,0.10476190476190476
Page 9,"No sentence in French literature in English trans­ lation is better known than the opening sentence of The Stranger. It has become a sacred cow of sorts, and I have changed it. As Richard Howard pointed out in his classic state­ ment on retranslation, time reveals all translation to be paraphrase.",0.10666666666666666
Page 13,"""Maman died today. Or yesterday maybe, I don't know. I got a telegram from the home: ""Mother deceased. Funeral tomorrow."" For now, it's almost as if Maman weren't dead. After the funeral, though, the case will be closed, and everything will have a more official feel""",0.06666666666666665
Page 14,"""I wanted to see Maman right away, but the care­ taker told me I had to see the director first"" ""You don't have to justify yourself, my dear boy. I've read your mother's file. She needed someone to look after her""",0.26785714285714285
Page 15,"Monsieur Meur­ sault visited his mother at a home for the elderly. The director told him his mother had been able to share things from the old days with them. ""You're young, and it must have been hard for her with you""",0.10208333333333332
Page 16,"Maman had never in her life given a thought to religion. She was not an atheist, but she did not want a religious burial. The funeral was held in a bright, whitewashed room with a skylight for a roof.",0.35000000000000003
Page 17,"""She's got an abscess,"" the caretaker said. ""Oh, you're not from around here?"" ""I remembered that before taking me to the director's office, he had talked to me about Maman""",0.0
Page 18,"""I thought what he'd been saying was interesting and made sense,"" says Marnan. ""I offered the caretaker a ciga­ rette and we smoked,"" he says. ""But of course it wasn't the same""",0.25
